s2024-11-25 08:22:57,000 - ERROR - Scanning error: name 'np' is not defined
2024-11-25 09:02:53,682 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:03:41,295 - INFO - New signal detected for BNB/USDT: double_bottom
2024-11-25 09:03:41,598 - INFO - New signal detected for BNB/USDT: double_bottom
2024-11-25 09:04:31,373 - INFO - New signal detected for TIA/USDT: VWAP_SUPPORT
2024-11-25 09:04:31,659 - INFO - New signal detected for TIA/USDT: double_bottom
2024-11-25 09:04:31,944 - INFO - New signal detected for TIA/USDT: double_bottom
2024-11-25 09:05:29,838 - INFO - New signal detected for NOT/USDT: VWAP_SUPPORT
2024-11-25 09:05:30,127 - INFO - New signal detected for NOT/USDT: double_bottom
2024-11-25 09:05:30,401 - INFO - New signal detected for NOT/USDT: double_bottom
2024-11-25 09:05:49,232 - INFO - New signal detected for BONK/USDT: HTF_SUPPORT_WICK
2024-11-25 09:08:12,881 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:08:13,164 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:08:23,995 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:08:24,299 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:08:35,198 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:08:55,286 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:08:55,569 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:09:26,116 - INFO - New signal detected for USDT/ARS: double_bottom
2024-11-25 09:09:26,428 - INFO - New signal detected for USDT/ARS: double_bottom
2024-11-25 09:09:39,701 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:09:40,108 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:09:40,479 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:09:40,801 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:09:51,315 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:09:51,637 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:10:24,931 - INFO - New signal detected for ADA/USDT: double_bottom
2024-11-25 09:10:25,259 - INFO - New signal detected for ADA/USDT: double_bottom
2024-11-25 09:10:47,197 - INFO - New signal detected for BNB/USDT: double_bottom
2024-11-25 09:10:47,505 - INFO - New signal detected for BNB/USDT: double_bottom
2024-11-25 09:11:42,204 - INFO - New signal detected for TIA/USDT: double_bottom
2024-11-25 09:11:42,500 - INFO - New signal detected for TIA/USDT: double_bottom
2024-11-25 09:11:52,711 - INFO - New signal detected for FTM/USDT: double_bottom
2024-11-25 09:11:53,057 - INFO - New signal detected for FTM/USDT: double_bottom
2024-11-25 09:12:51,606 - INFO - New signal detected for NOT/USDT: VWAP_SUPPORT
2024-11-25 09:12:51,900 - INFO - New signal detected for NOT/USDT: double_bottom
2024-11-25 09:12:52,302 - INFO - New signal detected for NOT/USDT: double_bottom
2024-11-25 09:13:04,161 - INFO - New signal detected for BONK/USDT: double_bottom
2024-11-25 09:13:04,496 - INFO - New signal detected for BONK/USDT: double_bottom
2024-11-25 09:13:04,782 - INFO - New signal detected for BONK/USDT: HTF_SUPPORT_WICK
2024-11-25 09:13:58,992 - INFO - New signal detected for NEIRO/USDT: double_bottom
2024-11-25 09:13:59,293 - INFO - New signal detected for NEIRO/USDT: HTF_SUPPORT_WICK
2024-11-25 09:14:09,186 - INFO - New signal detected for GALA/USDT: double_bottom
2024-11-25 09:14:09,474 - INFO - New signal detected for GALA/USDT: double_bottom
2024-11-25 09:14:20,311 - INFO - New signal detected for FIL/USDT: double_bottom
2024-11-25 09:14:20,598 - INFO - New signal detected for FIL/USDT: double_bottom
2024-11-25 09:14:31,633 - INFO - New signal detected for ACT/USDT: HTF_SUPPORT_WICK
2024-11-25 09:14:57,766 - INFO - Loading existing user credentials
2024-11-25 09:14:57,767 - INFO - Telegram configuration loaded - ID: False, Token: False
2024-11-25 09:15:22,967 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:15:23,703 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:15:38,859 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:15:39,224 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:15:56,319 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:15:56,632 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:16:33,171 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:17:37,830 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:17:38,456 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:17:39,062 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:17:39,789 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:18:01,842 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:18:02,651 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:18:21,559 - INFO - Loading existing user credentials
2024-11-25 09:18:21,560 - INFO - Raw telegram ID: 
2024-11-25 09:18:21,560 - INFO - Raw bot token: 
2024-11-25 09:18:40,414 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:18:40,695 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:18:50,179 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:18:50,464 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:19:00,592 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:19:19,549 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:19:19,833 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:19:39,269 - INFO - New signal detected for XLM/USDT: double_bottom
2024-11-25 09:19:58,680 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:19:58,956 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:19:59,404 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:19:59,961 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:20:08,991 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:20:48,967 - INFO - Updated telegram credentials - ID: 1434650273
2024-11-25 09:20:48,969 - INFO - Loading existing user credentials
2024-11-25 09:20:48,969 - INFO - Raw telegram ID: 1434650273
2024-11-25 09:20:48,970 - INFO - Raw bot token: 7342130675:AAGkKBpPnfbgMh1J8FADQ3PaD5hV_r6PhfA
2024-11-25 09:20:49,360 - INFO - Telegram message status: 200
2024-11-25 09:20:49,361 - INFO - Signal notification sent for message: 🚀 Market Scanner initialized successfully...
2024-11-25 09:20:50,782 - INFO - Telegram message status: 200
2024-11-25 09:20:50,783 - INFO - Signal notification sent for message: 🚀 Scanner Started - Monitoring Markets...
2024-11-25 09:21:05,457 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:21:05,465 - INFO - Sending signal notification for USDT/TRY
2024-11-25 09:21:05,466 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:05,467 - INFO - Signal notification sent for USDT/TRY
2024-11-25 09:21:06,207 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:21:06,216 - INFO - Sending signal notification for USDT/TRY
2024-11-25 09:21:06,217 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:06,217 - INFO - Signal notification sent for USDT/TRY
2024-11-25 09:21:16,685 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:21:16,694 - INFO - Sending signal notification for BTC/USDT
2024-11-25 09:21:16,694 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:16,695 - INFO - Signal notification sent for BTC/USDT
2024-11-25 09:21:16,981 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:21:16,993 - INFO - Sending signal notification for BTC/USDT
2024-11-25 09:21:16,994 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:16,995 - INFO - Signal notification sent for BTC/USDT
2024-11-25 09:21:28,285 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:21:28,298 - INFO - Sending signal notification for DOGE/USDT
2024-11-25 09:21:28,300 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:28,301 - INFO - Signal notification sent for DOGE/USDT
2024-11-25 09:21:28,592 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:21:28,604 - INFO - Sending signal notification for DOGE/USDT
2024-11-25 09:21:28,605 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:28,606 - INFO - Signal notification sent for DOGE/USDT
2024-11-25 09:21:46,224 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:21:46,233 - INFO - Sending signal notification for ETH/USDT
2024-11-25 09:21:46,233 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:21:46,234 - INFO - Signal notification sent for ETH/USDT
2024-11-25 09:22:27,786 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:22:27,810 - INFO - Sending signal notification for USDC/USDT
2024-11-25 09:22:27,811 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:27,812 - INFO - Signal notification sent for USDC/USDT
2024-11-25 09:22:28,094 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:22:28,104 - INFO - Sending signal notification for USDC/USDT
2024-11-25 09:22:28,105 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:28,106 - INFO - Signal notification sent for USDC/USDT
2024-11-25 09:22:28,396 - INFO - New signal detected for USDC/USDT: double_bottom
2024-11-25 09:22:28,405 - INFO - Sending signal notification for USDC/USDT
2024-11-25 09:22:28,405 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:28,406 - INFO - Signal notification sent for USDC/USDT
2024-11-25 09:22:28,692 - INFO - New signal detected for USDC/USDT: triple_bottom
2024-11-25 09:22:28,700 - INFO - Sending signal notification for USDC/USDT
2024-11-25 09:22:28,701 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:28,702 - INFO - Signal notification sent for USDC/USDT
2024-11-25 09:22:37,826 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:22:37,834 - INFO - Sending signal notification for SOL/USDT
2024-11-25 09:22:37,835 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:37,835 - INFO - Signal notification sent for SOL/USDT
2024-11-25 09:22:38,131 - INFO - New signal detected for SOL/USDT: double_bottom
2024-11-25 09:22:38,139 - INFO - Sending signal notification for SOL/USDT
2024-11-25 09:22:38,140 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:38,140 - INFO - Signal notification sent for SOL/USDT
2024-11-25 09:22:48,049 - INFO - New signal detected for FDUSD/USDT: double_bottom
2024-11-25 09:22:48,057 - INFO - Sending signal notification for FDUSD/USDT
2024-11-25 09:22:48,058 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:48,059 - INFO - Signal notification sent for FDUSD/USDT
2024-11-25 09:22:48,339 - INFO - New signal detected for FDUSD/USDT: double_bottom
2024-11-25 09:22:48,347 - INFO - Sending signal notification for FDUSD/USDT
2024-11-25 09:22:48,348 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:22:48,348 - INFO - Signal notification sent for FDUSD/USDT
2024-11-25 09:23:09,092 - INFO - New signal detected for ADA/USDT: double_bottom
2024-11-25 09:23:09,101 - INFO - Sending signal notification for ADA/USDT
2024-11-25 09:23:09,102 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:23:09,102 - INFO - Signal notification sent for ADA/USDT
2024-11-25 09:23:09,477 - INFO - New signal detected for ADA/USDT: double_bottom
2024-11-25 09:23:09,485 - INFO - Sending signal notification for ADA/USDT
2024-11-25 09:23:09,486 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:23:09,487 - INFO - Signal notification sent for ADA/USDT
2024-11-25 09:23:40,180 - INFO - New signal detected for BNB/USDT: double_bottom
2024-11-25 09:23:40,187 - INFO - Sending signal notification for BNB/USDT
2024-11-25 09:23:40,188 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:23:40,189 - INFO - Signal notification sent for BNB/USDT
2024-11-25 09:23:40,504 - INFO - New signal detected for BNB/USDT: double_bottom
2024-11-25 09:23:40,513 - INFO - Sending signal notification for BNB/USDT
2024-11-25 09:23:40,513 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:23:40,514 - INFO - Signal notification sent for BNB/USDT
2024-11-25 09:24:20,250 - INFO - New signal detected for TIA/USDT: double_bottom
2024-11-25 09:24:20,262 - INFO - Sending signal notification for TIA/USDT
2024-11-25 09:24:20,262 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:24:20,263 - INFO - Signal notification sent for TIA/USDT
2024-11-25 09:24:20,546 - INFO - New signal detected for TIA/USDT: double_bottom
2024-11-25 09:24:20,554 - INFO - Sending signal notification for TIA/USDT
2024-11-25 09:24:20,555 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:24:20,555 - INFO - Signal notification sent for TIA/USDT
2024-11-25 09:25:23,984 - INFO - New signal detected for NOT/USDT: double_bottom
2024-11-25 09:25:23,992 - INFO - Sending signal notification for NOT/USDT
2024-11-25 09:25:23,993 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:25:23,994 - INFO - Signal notification sent for NOT/USDT
2024-11-25 09:25:24,292 - INFO - New signal detected for NOT/USDT: double_bottom
2024-11-25 09:25:24,300 - INFO - Sending signal notification for NOT/USDT
2024-11-25 09:25:24,301 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:25:24,301 - INFO - Signal notification sent for NOT/USDT
2024-11-25 09:25:36,041 - INFO - New signal detected for BONK/USDT: HTF_SUPPORT_WICK
2024-11-25 09:25:36,050 - INFO - Sending signal notification for BONK/USDT
2024-11-25 09:25:36,050 - ERROR - Telegram sending error: 'tuple' object has no attribute 'encode'
2024-11-25 09:25:36,050 - INFO - Signal notification sent for BONK/USDT
2024-11-25 09:26:11,736 - INFO - Loading existing user credentials
2024-11-25 09:26:11,736 - INFO - Raw telegram ID: 1434650273
2024-11-25 09:26:11,737 - INFO - Raw bot token: 7342130675:AAGkKBpPnfbgMh1J8FADQ3PaD5hV_r6PhfA
2024-11-25 09:26:14,999 - INFO - Telegram message status: 200
2024-11-25 09:26:15,014 - INFO - Signal notification sent for message: 🚀 Market Scanner initialized successfully...
2024-11-25 09:26:16,361 - INFO - Telegram message status: 200
2024-11-25 09:26:16,361 - INFO - Signal notification sent for message: 🚀 Scanner Started - Monitoring Markets...
2024-11-25 09:26:59,928 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:26:59,938 - INFO - Sending signal notification for USDT/TRY
2024-11-25 09:27:09,941 - ERROR - Telegram request timed out
2024-11-25 09:27:09,943 - INFO - Signal notification sent for USDT/TRY
2024-11-25 09:27:12,267 - INFO - New signal detected for USDT/TRY: double_bottom
2024-11-25 09:27:12,276 - INFO - Sending signal notification for USDT/TRY
2024-11-25 09:27:14,040 - INFO - Telegram message status: 200
2024-11-25 09:27:14,041 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: USDT/TRY
Price: 34.61000000
Pattern Score: 0.80
Strength...
2024-11-25 09:27:14,043 - INFO - Signal notification sent for USDT/TRY
2024-11-25 09:27:39,553 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:27:39,565 - INFO - Sending signal notification for BTC/USDT
2024-11-25 09:27:42,726 - INFO - Telegram message status: 200
2024-11-25 09:27:42,728 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: BTC/USDT
Price: 98249.87000000
Pattern Score: 0.80
Stren...
2024-11-25 09:27:42,730 - INFO - Signal notification sent for BTC/USDT
2024-11-25 09:28:17,343 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:28:17,352 - INFO - Sending signal notification for DOGE/USDT
2024-11-25 09:28:18,161 - INFO - Telegram message status: 200
2024-11-25 09:28:18,162 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: DOGE/USDT
Price: 0.43124000
Pattern Score: 0.80
Strength...
2024-11-25 09:28:18,165 - INFO - Signal notification sent for DOGE/USDT
2024-11-25 09:28:19,044 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:28:19,053 - INFO - Sending signal notification for DOGE/USDT
2024-11-25 09:28:20,847 - INFO - Telegram message status: 200
2024-11-25 09:28:20,847 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: DOGE/USDT
Price: 0.43129000
Pattern Score: 0.80
Strength...
2024-11-25 09:28:20,849 - INFO - Signal notification sent for DOGE/USDT
2024-11-25 09:28:59,126 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:28:59,135 - INFO - Sending signal notification for ETH/USDT
2024-11-25 09:29:03,495 - INFO - Telegram message status: 200
2024-11-25 09:29:03,496 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: ETH/USDT
Price: 3404.00000000
Pattern Score: 0.80
Streng...
2024-11-25 09:29:03,497 - INFO - Signal notification sent for ETH/USDT
2024-11-25 09:29:04,260 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:29:04,269 - INFO - Sending signal notification for ETH/USDT
2024-11-25 09:29:05,697 - INFO - Telegram message status: 200
2024-11-25 09:29:05,697 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: ETH/USDT
Price: 3403.99000000
Pattern Score: 0.80
Streng...
2024-11-25 09:29:05,699 - INFO - Signal notification sent for ETH/USDT
2024-11-25 09:29:50,200 - INFO - New signal detected for XLM/USDT: double_bottom
2024-11-25 09:29:50,209 - INFO - Sending signal notification for XLM/USDT
2024-11-25 09:29:51,106 - INFO - Telegram message status: 200
2024-11-25 09:29:51,107 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: XLM/USDT
Price: 0.55000000
Pattern Score: 0.80
Strength:...
2024-11-25 09:29:51,109 - INFO - Signal notification sent for XLM/USDT
2024-11-25 09:29:59,898 - INFO - Loading existing user credentials
2024-11-25 09:29:59,899 - INFO - Raw telegram ID: 1434650273
2024-11-25 09:29:59,899 - INFO - Raw bot token: 7342130675:AAGkKBpPnfbgMh1J8FADQ3PaD5hV_r6PhfA
2024-11-25 09:30:00,502 - INFO - Telegram message status: 200
2024-11-25 09:30:00,502 - INFO - Signal notification sent for message: 🚀 Market Scanner initialized successfully...
2024-11-25 09:30:02,020 - INFO - Telegram message status: 200
2024-11-25 09:30:02,045 - INFO - Signal notification sent for message: 🚀 Scanner Started - Monitoring Markets...
2024-11-25 09:30:38,290 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:30:38,298 - INFO - Sending signal notification for BTC/USDT
2024-11-25 09:30:39,451 - INFO - Telegram message status: 200
2024-11-25 09:30:39,452 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: BTC/USDT
Price: 98241.00000000
Pattern Score: 0.80
Stren...
2024-11-25 09:30:39,453 - INFO - Signal notification sent for BTC/USDT
2024-11-25 09:30:42,165 - INFO - New signal detected for BTC/USDT: double_bottom
2024-11-25 09:30:42,174 - INFO - Sending signal notification for BTC/USDT
2024-11-25 09:30:42,571 - INFO - Telegram message status: 200
2024-11-25 09:30:42,571 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: BTC/USDT
Price: 98233.01000000
Pattern Score: 0.80
Stren...
2024-11-25 09:30:42,574 - INFO - Signal notification sent for BTC/USDT
2024-11-25 09:31:00,780 - ERROR - Data fetch error for DOGE/USDT: binance GET https://api.binance.com/api/v3/klines?interval=1d&limit=100&symbol=DOGEUSDT
2024-11-25 09:31:11,015 - INFO - New signal detected for DOGE/USDT: double_bottom
2024-11-25 09:31:11,025 - INFO - Sending signal notification for DOGE/USDT
2024-11-25 09:31:11,638 - INFO - Telegram message status: 200
2024-11-25 09:31:11,638 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: DOGE/USDT
Price: 0.43453000
Pattern Score: 0.80
Strength...
2024-11-25 09:31:11,640 - INFO - Signal notification sent for DOGE/USDT
2024-11-25 09:31:32,971 - ERROR - Data fetch error for ETH/USDT: binance GET https://api.binance.com/api/v3/klines?interval=4h&limit=100&symbol=ETHUSDT
2024-11-25 09:31:38,971 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:31:38,980 - INFO - Sending signal notification for ETH/USDT
2024-11-25 09:31:39,900 - INFO - Telegram message status: 200
2024-11-25 09:31:39,901 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: ETH/USDT
Price: 3405.76000000
Pattern Score: 0.80
Streng...
2024-11-25 09:31:39,903 - INFO - Signal notification sent for ETH/USDT
2024-11-25 09:31:40,515 - INFO - New signal detected for ETH/USDT: double_bottom
2024-11-25 09:31:40,524 - INFO - Sending signal notification for ETH/USDT
2024-11-25 09:31:41,449 - INFO - Telegram message status: 200
2024-11-25 09:31:41,450 - INFO - Signal notification sent for message: 📈 Day Trade 📈
Double Bottom Pattern
Market: ETH/USDT
Price: 3405.76000000
Pattern Score: 0.80
Streng...
2024-11-25 09:31:41,452 - INFO - Signal notification sent for ETH/USDT
